Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity
STN-01,01-01-2021 00:00,1.2,411,157,4.8,56.3,0.9245
STN-01,01-01-2021 01:00,1.5,397,167,2.9,54.7,0.8249
STN-01,01-01-2021 02:00,0.7,300,135,1.8,50.1,0.7405
STN-01,01-01-2021 03:00,0.5,284,142,0.9,48.8,0.6769
STN-01,01-01-2021 04:00,0,209,118,0.9,53.6,0.7118
STN-01,01-01-2021 05:00,0,284,111,1.6,54.2,0.7196
STN-01,01-01-2021 06:00,0.9,334,122,2.7,57.3,0.7971
STN-01,01-01-2021 07:00,2,418,161,1.4,50.9,0.6762
STN-01,01-01-2021 08:00,2.4,468,152,2.1,50.5,0.7257
STN-01,01-01-2021 09:00,2.6,482,158,3.5,47.7,0.7078
STN-01,01-01-2021 10:00,1.9,386,141,5.8,41.5,0.7022
STN-01,01-01-2021 11:00,2.4,436,152,7.6,46,0.7934
STN-01,01-01-2021 12:00,2,349,146,8.7,46.7,0.8085
STN-01,01-01-2021 13:00,1.9,314,,8.6,46.4,0.7946
STN-01,01-01-2021 14:00,1.8,237,115,10,41.9,0.7829
STN-01,01-01-2021 15:00,1.2,198,124,10.2,37,0.7102
STN-01,01-01-2021 16:00,0.8,230,135,9.5,36.8,0.689
STN-01,01-01-2021 17:00,1.1,,144,9.3,38.2,0.6873
STN-01,01-01-2021 18:00,1.4,159,113,7.9,48.1,0.8073
STN-01,01-01-2021 19:00,1.9,239,125,7.8,49.4,0.8062
STN-01,01-01-2021 20:00,1.7,,104,5.2,54.3,0.7896
STN-01,01-01-2021 21:00,1.2,147,96,4.2,52.3,0.7494
STN-01,01-01-2021 22:00,0.6,129,97,2.1,59,0.7594
STN-01,01-01-2021 23:00,2,329,135,0.2,55.9,0.6626
STN-01,02-01-2021 00:00,1.5,295,111,1,59.2,0.706
STN-01,02-01-2021 01:00,1.3,190,110,1,58.8,0.676
STN-01,02-01-2021 02:00,1.2,197,117,1.4,112.0389668,0.6673
STN-01,02-01-2021 03:00,0.9,161,126,0.3,55.7,0.6207
STN-01,02-01-2021 04:00,0.3,154,99,-0.4,55.2,0.5673
