Equipment_Record_ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
EQR-98B986B5F9,L,301.6,311.8,1507,38.5,63
EQR-01F95AC568,L,298.8,310.5,1464,43.0,2
EQR-13E3B46017,H,301.8,310.5,1356,49.3,78
EQR-DF3006D864,L,300.4,309.8,1519,29.1,108
EQR-21C2AFB054,M,300.6,311.0,1552,38.2,84
EQR-703CE68EF3,L,301.8,311.4,1715,30.3,150
EQR-A79C40D088,L,296.2,307.2,1613,32.8,117
EQR-61422CA521,M,300.6,310.9,1811,25.0,0
EQR-62284581EB,L,297.6,307.8,1621,32.8,95
EQR-63F4F48AB5,H,301.1,311.4,1526,33.4,144
EQR-42904FAF14,L,302.5,311.6,1256,59.8,10
EQR-895ABF1D18,L,297.6,307.9,1701,36.8,198
EQR-69A94E751A,H,300.6,310.8,1607,29.9,154
EQR-976D4CA0DE,L,301.5,310.4,1626,33.3,84
EQR-78E99C79D1,L,299.8,310.5,1465,44.5,6
EQR-E2344BED9F,L,301.4,309.2,1439,41.5,66
EQR-6CD5862707,M,301.9,311.6,1483,36.3,69
EQR-1C609DBEA4,L,296.9,308.2,1425,46.0,83
EQR-5F8091D523,H,300.3,309.9,1659,29.6,21
EQR-FFC4B92B46,H,296.3,307.4,1749,30.8,71
EQR-78F32039A2,L,300.8,310.6,1435,44.0,57
EQR-84BC5428A4,L,300.9,310.8,1383,43.6,168
EQR-719A86F3FB,L,297.2,308.4,1393,47.5,172
EQR-C6E5EFC52B,L,301.7,310.4,1430,44.1,37
EQR-E3E1EAB994,M,302.4,311.6,1789,24.1,73
EQR-2F807C6793,L,299.1,309.5,1481,48.7,34
EQR-82CFE60E52,L,300.5,311.0,1571,44.8,197
EQR-651E686834,L,299.2,309.2,1750,29.1,186
EQR-4AE279E16B,L,301.5,311.5,1503,39.7,24
EQR-5511CCD7B3,L,303.6,312.3,1436,50.2,121
EQR-FA11BC070B,H,299.4,310.6,1395,50.9,109
EQR-144887E2AA,L,301.0,311.1,1662,31.3,84
EQR-762A152C55,L,298.3,309.6,1363,55.9,35
EQR-2F236D6289,M,300.7,310.8,1753,34.3,112
EQR-57057DECAC,M,299.9,309.4,1500,40.4,63
EQR-0CE6E54536,L,300.9,309.6,1422,39.2,13
EQR-AC4FDAF368,M,300.6,310.4,1684,33.9,111
EQR-5E429CF04F,L,295.9,308.1,1578,41.2,112
EQR-9DE11E85F8,M,300.4,310.6,1313,60.9,33
EQR-2F4DDFB469,L,303.0,311.8,1488,37.5,57
EQR-1F2EA25F02,L,298.3,307.9,1667,33.3,15
EQR-780ADC0904,L,298.5,309.4,1651,28.4,217
EQR-8DAD47D87E,M,299.5,310.5,1377,53.2,181
EQR-9999CDCF67,M,297.4,308.0,1553,39.6,80
EQR-65756ECAAC,L,302.2,310.5,1400,55.5,139
EQR-4D05DCFA87,H,302.8,311.9,1563,35.0,139
EQR-F92E386936,L,300.1,309.2,1487,45.3,193
EQR-7289165539,L,302.1,310.8,1483,40.9,244
EQR-C0C12C50AC,H,303.8,312.6,1470,44.5,29
EQR-1410069876,H,298.5,308.3,1413,43.7,63
EQR-74A9198732,L,297.3,308.5,1549,42.9,28
EQR-3912DBBFFB,L,300.2,310.9,1760,31.0,152
EQR-F14AA866D0,L,298.2,309.4,1602,28.7,171
EQR-E6F128E84B,M,304.2,312.4,1462,44.7,94
EQR-D613365129,L,301.0,311.4,1478,40.8,167
EQR-59A48535D5,M,300.2,310.0,1435,33.5,175
EQR-5171427F98,M,299.0,309.5,1458,40.1,8
EQR-F6BDF12E54,H,298.1,310.2,1458,45.7,209
EQR-DC42F6D2D8,M,300.6,310.2,1566,31.8,124
EQR-9B4C4420A5,L,301.4,310.5,1589,40.3,76
EQR-35CE75FAD5,M,300.7,310.1,1362,54.5,128
EQR-78E91DEA27,L,299.7,309.0,1803,23.6,148
EQR-3A1D658F7A,M,300.7,310.5,1412,45.0,137
EQR-65FD1A5360,L,300.4,309.9,1541,40.0,129
EQR-98E705579E,M,296.6,308.0,1612,34.4,136
EQR-DB272193B2,L,298.8,309.7,1452,37.6,74
EQR-B588FFF2D4,M,299.9,308.6,1447,46.4,185
EQR-E741CDC1DA,L,302.4,310.6,1558,35.2,20
EQR-B27681C83A,M,301.2,311.2,1786,27.3,175
EQR-5099A9D9F3,L,303.5,312.2,1536,33.4,158
EQR-24A0BB04A6,L,302.4,309.9,1658,34.4,180
EQR-8214C6BE11,M,301.5,312.2,1356,48.1,59
EQR-7E2BED496F,L,299.0,310.0,1374,50.5,69
EQR-3F25BDAA0D,L,304.0,312.6,1551,30.8,70
EQR-3B4DD2D556,L,296.9,307.5,1521,35.0,157
EQR-CC651A1411,L,300.3,310.2,1471,43.8,99
EQR-1D8F8C5D4F,M,300.5,311.3,1595,35.9,190
EQR-DF66129796,M,298.3,308.5,1375,50.8,143
EQR-1F96000295,H,301.4,311.4,1442,41.8,105
EQR-E2E2801C6A,L,302.0,310.8,1838,22.3,157
EQR-2F50CAE4CC,M,300.4,310.5,1436,44.9,9
EQR-BDCA4F02DB,L,298.6,309.2,1456,37.7,41
EQR-0EDA32AA59,L,300.5,311.4,1741,33.2,200
EQR-D5C798990B,H,300.1,309.6,1380,49.2,80
EQR-4171FF1065,M,301.3,311.3,1550,41.5,197
EQR-67E67FAED7,M,300.7,311.4,1353,62.3,193
EQR-C3CE206A9C,L,298.4,309.8,1416,46.3,56
EQR-1DE09DF500,M,301.7,310.8,1978,21.6,21
EQR-91470A9FAA,M,299.6,308.9,1858,30.9,159
EQR-9B8E3B53D5,H,302.2,311.7,1446,50.0,153
EQR-71AD5DE27A,L,299.3,309.1,1460,42.4,184
EQR-74F225C11E,M,298.1,308.2,1490,38.5,104
EQR-05D7113C2F,L,297.6,308.4,1658,34.7,13
EQR-14EEB1400A,M,300.7,309.4,1641,39.6,181
EQR-70D1AD512B,L,300.8,310.0,1371,52.7,137
EQR-0EABFA5D4E,L,299.1,309.1,1447,49.5,88
EQR-7EF0C5E549,M,299.9,309.1,1492,39.8,21
EQR-96955F281E,L,300.8,311.0,1598,32.3,2
EQR-A2D9563423,L,300.3,311.5,1530,29.6,60
EQR-FC1023A0B7,L,298.5,309.1,1416,43.7,10
EQR-D8FCD5884D,M,300.0,310.8,1397,42.6,129
EQR-C2E32EC340,H,300.7,310.5,1207,69.6,164
EQR-D6DB9B4ED6,M,302.8,312.2,1518,41.0,33
EQR-41BE060E17,M,301.4,309.7,1612,35.6,231
EQR-6D56FB8B1B,M,297.4,307.9,1509,39.8,143
EQR-A0CB2C0F88,L,302.5,311.5,1528,42.9,194
EQR-5EF38AA98D,L,298.9,310.7,2203,19.1,179
