Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity
SC2-01,2022-10-01 00:00:00,2.7,291.0,137.0,18.4,72.9,1.4813
SC2-01,2022-10-01 01:00:00,2.5,285.0,130.0,17.0,72.3,1.3992
SC2-01,2022-10-01 02:00:00,2.6,261.0,110.0,14.8,74.3,1.3481
SC2-01,2022-10-01 03:00:00,2.1,275.0,103.0,14.5,74.1,1.3101
SC2-01,2022-10-01 04:00:00,1.2,,58.0,14.0,79.1,1.3246
SC2-01,2022-10-01 05:00:00,2.0,259.0,64.0,13.3,73.8,1.2462
SC2-01,2022-10-01 06:00:00,2.9,380.0,91.0,13.4,76.9,1.2643
SC2-01,2022-10-01 07:00:00,3.2,374.0,99.0,14.4,75.3,1.2813
SC2-01,2022-10-01 08:00:00,4.2,417.0,115.0,15.2,70.7,1.3017
SC2-01,2022-10-01 09:00:00,4.2,408.0,122.0,15.3,70.2,1.2877
SC2-01,2022-10-01 10:00:00,3.5,375.0,118.0,17.7,64.2,1.2868
SC2-01,2022-10-01 11:00:00,2.6,325.0,104.0,20.7,64.6,1.3738
SC2-01,2022-10-01 12:00:00,2.2,285.0,94.0,20.2,66.4,1.3628
SC2-01,2022-10-01 13:00:00,1.7,184.0,75.0,20.4,63.9,1.3547
SC2-01,2022-10-01 14:00:00,2.7,258.0,87.0,21.3,58.8,1.3148
SC2-01,2022-10-01 15:00:00,3.3,319.0,,21.5,52.7,1.2588
SC2-01,2022-10-01 16:00:00,3.8,287.0,97.0,22.0,49.5,1.2148
SC2-01,2022-10-01 17:00:00,4.1,376.0,112.0,20.5,59.0,1.2677
SC2-01,2022-10-01 18:00:00,5.5,550.0,137.0,18.7,65.9,1.3421
SC2-01,2022-10-01 19:00:00,5.8,605.0,155.0,18.4,66.6,1.3847
SC2-01,2022-10-01 20:00:00,4.9,559.0,152.0,18.0,63.1,1.3547
SC2-01,2022-10-01 21:00:00,3.2,402.0,126.0,17.4,65.5,1.3715
SC2-01,2022-10-01 22:00:00,2.6,364.0,112.0,15.5,72.2,1.3636
SC2-01,2022-10-01 23:00:00,2.6,262.0,89.0,14.2,78.2,1.4242
SC2-01,2022-10-02 00:00:00,2.7,307.0,77.0,14.8,77.5,1.4886
SC2-01,2022-10-02 01:00:00,2.2,166.0,48.0,14.8,73.7,1.4524
SC2-01,2022-10-02 02:00:00,1.1,74.0,9.0,15.6,72.5,1.4537
SC2-01,2022-10-02 03:00:00,0.8,111.0,18.0,16.5,77.3,1.5283
SC2-01,2022-10-02 04:00:00,0.2,41.0,1.0,17.2,73.4,1.4688
SC2-01,2022-10-02 05:00:00,0.3,41.0,8.0,17.4,71.7,1.4598
SC2-01,2022-10-02 06:00:00,1.0,179.0,29.0,17.8,69.2,1.4387
SC2-01,2022-10-02 07:00:00,1.6,257.0,46.0,17.2,71.6,1.443
SC2-01,2022-10-02 08:00:00,2.7,441.0,98.0,18.6,67.5,1.4304
SC2-01,2022-10-02 09:00:00,2.8,486.0,118.0,19.5,63.0,1.4423
SC2-01,2022-10-02 10:00:00,2.9,526.0,127.0,21.4,56.0,1.3668
SC2-01,2022-10-02 11:00:00,2.4,490.0,133.0,22.8,47.9,1.3159
SC2-01,2022-10-02 12:00:00,2.7,,134.0,24.7,51.4,1.3921
SC2-01,2022-10-02 13:00:00,2.5,408.0,106.0,26.5,51.7,1.4664
SC2-01,2022-10-02 14:00:00,3.0,481.0,112.0,25.1,53.4,1.4428
SC2-01,2022-10-02 15:00:00,2.6,395.0,83.0,25.9,49.8,1.453
SC2-01,2022-10-02 16:00:00,2.5,333.0,75.0,23.2,50.6,1.3805
SC2-01,2022-10-02 17:00:00,2.8,351.0,,21.9,49.7,1.352
SC2-01,2022-10-02 18:00:00,3.0,318.0,108.0,20.8,55.3,1.4496
SC2-01,2022-10-02 19:00:00,4.0,503.0,134.0,19.3,53.3,1.4004
